pid,block,trial,keypress,rt,ori,stim,fstim,fam,cond,acc,rt_OSF
4,1,37,q,1.117997249995824,2,10,136,1,Learned,1,yes
4,1,38,q,1.2866783750068862,1,2,49,0,Novel,0,yes
4,1,39,q,1.0760943749919534,3,83,43,1,Learned,1,yes
4,1,40,p,1.4024038330098847,3,144,25,1,Learned,0,yes
4,1,41,p,1.3978889580030227,3,32,51,0,Novel,1,yes
4,1,42,p,1.963430542004062,2,22,53,0,Novel,1,yes
4,1,43,p,1.5085440420079976,1,139,71,1,Learned,0,yes
4,1,44,p,1.1044697920006,3,111,79,0,Novel,1,yes
4,1,45,q,1.6060284579871222,1,13,108,1,Learned,1,yes
4,1,46,p,1.2181780419923598,1,109,10,0,Novel,1,yes
4,1,47,q,1.3305119589931564,2,124,83,1,Learned,1,yes
4,1,48,p,1.199243374998332,3,60,144,1,Learned,0,yes
4,1,49,q,1.190315499989083,3,146,139,1,Learned,1,yes
4,1,50,p,0.9241254999942612,2,104,13,0,Novel,1,yes
4,1,51,q,0.8937586249958258,2,140,124,1,Learned,1,yes
4,1,52,q,1.7068638749915408,2,41,60,0,Novel,0,yes
4,1,53,q,1.161916500001098,3,39,146,0,Novel,0,yes
4,1,54,p,0.8993146249995334,3,16,140,1,Learned,0,yes
4,1,55,q,1.8757990409940248,1,27,16,1,Learned,1,yes
4,1,56,p,1.1900984999956563,3,112,27,0,Novel,1,yes
4,1,57,p,2.2328392500057817,3,141,141,1,Learned,0,yes
4,1,58,q,0.8290467080078088,2,150,150,1,Learned,1,yes
4,1,59,p,1.4960199159977492,1,57,57,1,Learned,0,yes
4,1,60,p,1.1293512500124052,3,125,125,1,Learned,0,yes
4,2,1,p,1.9555105829931565,3,9,7,1,Learned,0,yes
4,2,2,q,0.893818625001586,1,146,28,1,Learned,1,yes
4,2,3,p,1.1547294589981902,3,44,21,0,Novel,1,yes
4,2,4,p,1.473050750006223,3,74,20,0,Novel,1,yes
4,2,5,q,1.5913273750047665,1,47,9,0,Novel,0,yes
4,2,6,p,1.5141283749981085,2,126,12,0,Novel,1,yes
4,2,7,q,0.827597750001587,1,140,136,1,Learned,1,yes
4,2,8,q,1.007044541009236,2,79,49,1,Learned,1,yes
4,2,9,p,1.4644151249958668,3,45,43,0,Novel,1,yes
4,2,10,p,1.5291717920044905,1,62,25,0,Novel,1,yes
4,2,11,q,0.7940956249949522,1,141,51,1,Learned,1,yes
4,2,12,q,1.805815707994043,1,10,53,1,Learned,1,yes
4,2,13,q,1.5213084999995772,2,70,71,0,Novel,0,yes
