pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
3,3,1,q,0.7173425839973788,2,3,1,Famous,1
3,3,2,q,0.6124085000010382,1,31,1,Famous,1
3,3,3,q,0.5960437079993426,3,130,0,New,0
3,3,4,p,0.6125752920015657,1,44,0,New,1
3,3,5,p,0.6981339169979037,3,152,0,New,1
3,3,6,q,0.6038337089994457,2,8,1,Famous,1
3,3,7,p,0.5174790410019341,2,83,0,New,1
3,3,8,p,0.4967175419988053,1,4,0,New,1
3,3,9,p,0.4693801670000539,2,38,0,New,1
3,3,10,p,0.5461750840004242,2,128,0,New,1
3,3,11,p,0.5525034999991476,1,118,0,New,1
3,3,12,p,0.5146396670024842,1,100,0,New,1
3,3,13,q,0.7044573329985724,3,38,1,Famous,1
3,3,14,q,0.7955091670010006,2,47,1,Famous,1
3,3,15,p,0.6083281249993888,3,88,0,New,1
3,3,16,p,0.6471866249994491,1,123,0,New,1
3,3,17,p,0.5220985420019133,1,29,0,New,1
3,3,18,p,0.46927825000238954,1,80,0,New,1
3,3,19,q,0.7207462910009781,2,26,1,Famous,1
3,3,20,p,0.5413557499996386,3,23,1,Famous,0
3,3,21,p,0.5446667910000542,3,98,0,New,1
3,3,22,p,0.5943090420005319,3,69,0,New,1
3,3,23,q,0.6637454590018024,2,12,1,Famous,1
3,3,24,q,0.5636227079994569,2,54,1,Famous,1
3,3,25,q,0.6677690420001454,1,17,1,Famous,1
3,3,26,q,0.6066240000000107,1,32,1,Famous,1
3,3,27,q,0.7073848330001056,1,48,1,Famous,1
3,3,28,q,0.6064612500013027,2,5,1,Famous,1
3,3,29,p,0.6200544589992205,1,11,0,New,1
3,3,30,q,0.7089410000007774,3,58,1,Famous,1
3,3,31,q,0.6115542499974254,2,46,1,Famous,1
3,3,32,q,0.7105864580007619,3,34,1,Famous,1
3,3,34,q,0.755458625000756,3,45,1,Famous,1
3,3,35,q,0.7194134589990426,2,37,1,Famous,1
3,3,36,q,0.6983310420000635,1,114,0,New,0
3,3,37,p,0.8210487500000454,2,36,1,Famous,0
3,3,38,q,0.7125479169990285,3,59,1,Famous,1
3,3,39,q,0.6497277499984193,1,1,1,Famous,1
3,3,40,q,0.7196029580009053,2,28,1,Famous,1
3,3,41,p,0.6602567920017464,1,4,1,Famous,0
3,3,42,p,0.7419165000028443,1,125,0,New,1
3,3,43,p,0.6533881670002302,2,64,0,New,1
3,3,44,q,0.6175509999993665,2,52,1,Famous,1
3,3,45,p,0.6154722080027568,3,42,1,Famous,0
3,3,46,q,0.6459976670012111,1,53,0,New,0
3,3,47,p,0.5904026250027528,1,41,0,New,1
3,3,48,p,0.7000230420017033,2,147,0,New,1
3,3,49,q,0.8047181250003632,1,41,1,Famous,1
3,3,50,q,0.6612341670006572,1,35,1,Famous,1
3,3,51,q,0.6637822080010665,1,14,1,Famous,1
3,3,52,q,0.7614808329999505,1,56,1,Famous,1
3,3,53,p,0.6346507089983788,1,75,0,New,1
3,3,54,p,0.6043741659996158,2,23,0,New,1
3,3,55,p,0.5868671249991166,1,82,0,New,1
3,3,56,p,0.6111052499982179,1,10,0,New,1
3,3,58,p,0.6970847499978845,2,144,0,New,1
3,3,59,p,0.6995845839992398,3,2,0,New,1
3,3,60,p,0.49785408299794653,3,47,0,New,1
