Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Submission approval rate
6a180b5606a1ab1e9f3705d9,697b3a15bfe294896c6a5958,RETURNED,Not Applicable,,,,,,,506,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180b5d4140f625664bdaf7,59aa9242a372d6000157ed4e,RETURNED,Not Applicable,,,,,,,2485,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180b5e6a2fe1e9c131e1ef,63d1c79ff86ec609af6f77ad,RETURNED,Not Applicable,2026-05-28T09:31:10.584000Z,,,,,,2513,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180b6162dba7811d9031ac,634694a1401b066cb71e4c82,RETURNED,Not Applicable,2026-05-28T09:31:18.910000Z,,,,,,1422,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180bd12522a767eec4fd84,6772bf59213734a33706f56c,RETURNED,Not Applicable,2026-05-28T09:44:00.025000Z,,,,,,355,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180c4871159087e51dd604,69fc9da2848c990d0d875d7a,RETURNED,Not Applicable,2026-05-28T09:35:06.418000Z,,,,,,253,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180c4b07cb040ab1a185f1,69f32784fdfdfa574a4ce7a5,RETURNED,Not Applicable,,,,,,,468,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a1811723fdec6b56828610b,5e514ee960dd0917e68a1ba5,RETURNED,Not Applicable,2026-05-28T09:57:10.978000Z,,,,,,1947,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18131a45df34e6edc0691a,6a06f6ab0ff72804d94666e8,RETURNED,Not Applicable,2026-05-28T10:04:20.001000Z,2026-05-28T10:04:58.345000Z,,2026-05-28T10:04:58.710000Z,,NOCODE,301,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18139266473c9bde836078,6407946a4bb4212372843398,RETURNED,Not Applicable,,,,,,,10073,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a1813d082c3b5f6c7665f2b,5dcc836b6a24b5912d7c33f4,RETURNED,Not Applicable,,,,,,,5572,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18144b03a65f5b8b2b99b7,69fd091c3ac967918648e10c,RETURNED,Not Applicable,2026-05-28T10:13:50.511000Z,,,,,,621,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a1814a10af01381038b23d2,6a10134e5eb00ed2b6dbe73a,RETURNED,Not Applicable,2026-05-28T10:11:11.496000Z,,,,,,40,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18154481b68e0773c8114b,66fd75a114eba53c2f24a190,RETURNED,Not Applicable,2026-05-28T10:14:22.798000Z,,,,,,2166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
